NUMBER;CLAS_SIFICATION;DATE_CASE;REF;NOT_COUNTRY;SUBJET;PROD_CAT;TYPE;RISK_DECISION;ACTION_TAKEN;DISTRIBUTION_STAT;PRODUCT;HAZARDS;HAZARDS_CAT;ORIG_COUNTRY;DESTIN_COUNTRY;CONCERN_COUNTRY
"0;alert notification;2024-05-15;2024.3828;Netherlands;Aflatoxin (B1 17 ppb; Sum 32 ppb) in Brazil nuts from Bolivia via UK;nuts, nut products and seeds;food;serious;Withdrawal from recipient(s);Distribution to other member countries;Brazil Nuts;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Bolivia;Austria,Belgium,Denmark,France,Germany,Ireland,Italy,Netherlands;Netherlands"
"1;information notification for attention;2024-05-15;2024.3823;France;salmonella detected in merguez sausages;meat and meat products (other than poultry);food;serious;Withdrawal from the market;Distribution restricted to notifying country;Merguez;Salmonella  ;Pathogenic micro-organisms;Netherlands,Portugal;France;France"
"2;alert notification;2024-05-15;2024.3822;Poland;stwierdzenie obecnoÅ›ci paÅ‚eczek Salmonella spp. w 25 g produktu pn. papryka sÅ‚odka, pochodzÄ…cej z Hiszpanii // Detection of the presence of Salmonella spp. in 25 g of ground sweet peppers from Spain;herbs and spices;food;serious;Withdrawal from the market;Distribution restricted to notifying country;Papryka s?odka // ground sweet pepper;Salmonella  ,Salmonella spp. ;Pathogenic micro-organisms;Spain;Germany,Moldova,Poland,Slovakia,Sweden;Poland"
"3;border rejection notification;2024-05-15;2024.3819;Germany;Ethylene oxide in BBQ Sauce from India;soups, broths, sauces and condiments;food;serious;Official detention;Product not (yet) placed on the market;BBQ Sauce Honey;ethylene oxide  ;Pesticide residues;India;Germany;Germany"
"4;border rejection notification;2024-05-15;2024.3817;Germany;Unauthorised substance ethylene oxide (sum of 2-chloroethanol and ethylene oxide, expressed as ethylene oxide) in spice sauce from India ;soups, broths, sauces and condiments;food;serious;Official detention;Product not (yet) placed on the market;Spice sauce;ethylene oxide  ;Pesticide residues;India;Germany;Germany"
5;border rejection notification;2024-05-15;2024.3815;Germany;Ethylene oxide in spice mixture (masala) from India;herbs and spices;food;serious;Official detention;Product (presumably) no longer on the market;Bombay Biryani Masala;ethylene oxide  ;Pesticide residues;India;Germany;Germany
6;information notification for attention;2024-05-14;2024.3516;Belgium;Exceedance of ML for Cadmium in Avocado from Peru via the Netherlands;fruits and vegetables;food;not serious;Withdrawal from the market;Product (presumably) no longer on the market;Avocado;cadmium  ;Heavy metals;Peru;Belgium;Belgium
7;information notification for attention;2024-05-14;2024.3799;France;Detection of cadmium in mangosteen from Colombia;fruits and vegetables;food;potentially serious;Withdrawal from recipient(s);Product (presumably) no longer on the market;Mangosteen;cadmium  ;Heavy metals;Colombia;France;France
8;alert notification;2024-05-14;2024.3793;Italy;Allergene nocciola non dichiarato nel prodotto â€œBuchweizenkekse/Biscotti grano saraceno/allergen (hazelnut) not declared on the label of Buckwheat biscuits;cereals and bakery products;food;serious;Recall from consumer;Distribution to other member countries;“Buchweizenkekse/Biscotti grano saraceno;hazelnut  traces;Allergens;Italy;Switzerland;Italy
"9;information notification for attention;2024-05-14;2024.3791;France;pesticide residues in pineapples from Mauritius;fruits and vegetables;food;potentially serious;Informing recipient(s);Product (presumably) no longer on the market;Fruits;cypermethrin  ,lambda-cyhalothrin  ;Pesticide residues;Mauritius;France;France"
10;information notification for follow-up;2024-05-14;2024.3787;Latvia;Dried apricot (Shakar Parah) from Afganistan with E220- sulfur dioxide 3863Â±208 mg/kg;fruits and vegetables;food;not serious;Informing authorities;Distribution to other member countries;Apricots;E220- sulfur dioxide  too high content;Food additives and flavourings;Afghanistan;Netherlands;Latvia
11;alert notification;2024-05-14;2024.3786;Italy;Presence of Salmonella Typhimurium in duck meat from Hungary;poultry meat and poultry meat products;food;serious;Official detention;Information on distribution not (yet) available;Anatra esviscerata con frattaglie/Gutted duck with offal/;Salmonella typhimurium ;Pathogenic micro-organisms;Hungary;Italy;Italy
"12;border rejection notification;2024-05-14;2024.3785;Germany;Salmonella spp. in frozen chicken meat preparation from Brazil ;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Chicken breast halves, salted;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"13;border rejection notification;2024-05-14;2024.3784;Germany;Salmonella spp. in poultry meat preparation from Brazil;poultry meat and poultry meat products;food;serious;Seizure;Product not (yet) placed on the market;Poultry meat preparation - Poultry breast, halved, salted;Salmonella spp. ;Pathogenic micro-organisms;Brazil;Germany;Germany"
